BranchID,BranchName,Degree
1,Computer Science and Engineering,B.E.
2,Electronics and Communication Engineering,B.E.
3,Electrical and Electronics Engineering,B.E.
4,Mechanical Engineering,B.E.
5,Civil Engineering,B.E.
6,Information Technology,B.Tech.
7,Biomedical Engineering,B.E.
8,Chemical Engineering,B.Tech.
9,Aeronautical Engineering,B.E.
10,Artificial Intelligence and Data Science,B.Tech.
11,Robotics and Automation,B.E.
12,Automobile Engineering,B.E.
13,Production Engineering,B.E.
14,Instrumentation and Control Engineering,B.E.
15,Computer Science and Business Systems,B.Tech.
16,Mechatronics Engineering,B.E.
17,Marine Engineering,B.Tech.
18,Mining Engineering,B.E.
19,Textile Technology,B.Tech.
20,Petroleum Engineering,B.Tech.
